Trang,STT,Chức năng,Trạng thái,Hiện trạng,Giải pháp và Flow hoạt động
,158,Hạn sử dụng,Hoàn Thành,"- Nhập  được ngày tháng nhật kho và hạn sử dụng của sản phẩm
- Nếu gần đến hạn sử dụng thì sẽ thông báo đềadmin xuất lên mục giá tốt để tạo chương trình giảm giá.","Giải pháp:
- Form product-add.jsp cho phép tạo động nhiều dòng biến thể
- Khi submit, Servlet lặp qua mảng dữ liệu biến thể gửi lên và lưu vào bảng product_variants liên kết với product_id
Flow:
- Gửi yêu cầu từ giao diện -> Controller nhận xử lý -> Cập nhật UI."
,159,Thêm biến thể ,Hoàn Thành,"Thêm được biến thể cho 1 sản phẩm ví dụ: cùng là bắp cải, với phân loại 500g thì giá bán 25000, thì thêm biến thể với phân loại 1kg thì giá bán 50000","Giải pháp:
- Form product-add.jsp cho phép tạo động nhiều dòng biến thể
- Khi submit, Servlet lặp qua mảng dữ liệu biến thể gửi lên và lưu vào bảng product_variants liên kết với product_id
Flow:
- Gửi yêu cầu từ giao diện -> Controller nhận xử lý -> Cập nhật UI."
,160,Cập nhật trọng lượng thực tế,Giảm tải,"Mong muốn:
- Hàng rau củ (Cà chua, xà lách...) khi đóng gói luôn có sai số gram (Vd:: khách đặt 1kg nhưng thực tế cân là 1.05kg hoặc 0.98kg). Hệ thống đang khóa cứng số tiền theo trọng lượng, Admin không sửa được số gram thực tế để tính tiền đúng
- Cho phép Admin nhập số ký thực tế sau khi cân. Hệ thống tự động nhân với đơn giá để ra Tổng tiền mới trên Bill trước khi khách thanh toán hoặc Shipper đi giao",
,161,Hình ảnh sản phẩm,Giảm tải,"Thêm được nhiều hình ảnh cho sản phẩm
Mong muốn:
- Tự động thêm hình ảnh nhanh, thêm bằng file, không phải thêm thủ công",
"Admin Chỉnh sửa sản phẩm
/admin/products/edit",162,"Sửa thông tin cơ bản, tên, danh mục, phân loại/giá, hình ảnh",Giảm tải,"Chỉ sửa thông tin thủ công
Mong muốn:
-Tự động sửa/ cập nhật thông tin nhanh qua File, google sheet, link,...
-Chọn nhiều sản phẩm cùng lúc, để sửa theo lần lượt theo hàng đợi.",
"Admin Quản lý giá tốt
/admin/flash-sales",163,Hiển thị các thông tin sản phẩm giá tốt,Hoàn Thành,"Hiển thị nhanh sản phẩm,giảm giá, số lượng bán/giới hạn, thời gian, trạng thái","Giải pháp:
- AdminFlashSaleController.java, FlashSaleService.java, FlashSaleDAO.java
Flow:
- Gửi yêu cầu từ giao diện -> Controller nhận xử lý -> Cập nhật UI."
"Admin Thêm giá tốt mới
/admin/flash-sales/add",164,Thêm sản phẩm giá tốt,Giảm tải,"chỉ thêm được thủ công
Mong muốn:
- Tự động theo theo danh sách, file nhanh chóng không cần nhập thủ công.
- Thêm tự động theo ngày lễ, sự kiện",
,165,Chọn sản phẩm,Hoàn Thành,"- chọn tất cả sản phẩm, chọn theo danh sách sắp hết hạn","Giải pháp:
- AdminFlashSaleController.java, FlashSaleService.java, FlashSaleDAO.java
Flow:
- Gửi yêu cầu từ giao diện -> Controller nhận xử lý -> Cập nhật UI."
,166,số lần dùng / user,Hoàn Thành,"- Có thể giới hạn 1 user mau được bao nhiêu sản phảm giảm giá
- Ví dụ: số lần dùng / user là 1 vậy chỉ 1 user chỉ được mua sản phẩm giảm giá đó 1 lần, lần thứ 2 không được giảm","Giải pháp:
- AdminFlashSaleController.java, FlashSaleService.java, FlashSaleDAO.java
Flow:
- Gửi yêu cầu từ giao diện -> Controller nhận xử lý -> Cập nhật UI."
,167,Giới hạn số lượng bán,Hoàn Thành,-Số lượng phải bé hơn tồn kho,"Giải pháp:
- AdminFlashSaleController.java, FlashSaleService.java, FlashSaleDAO.java
Flow:
- Gửi yêu cầu từ giao diện -> Controller nhận xử lý -> Cập nhật UI."
,168,Thêm nhiều Khung giờ giảm giá,Giảm tải,-Hiển tại chỉ giảm giá theo khung 24 giờ,
"Admin Chỉnh sửa giá tốt
/admin/flash-sales/edit",169,Ẩn flash sale tạm thời,Giảm tải,"Mong muốn:
- Thêm tính năng bật tắt flash sale khi cần thay đổi hay gặp phải lỗi bất kỳ(số lượng quá nhiều, time quá dài, hình ảnh và sản phẩm flash sale không khớp,...)
- Khi tắt, flash sale biến mất trên web nhưng vẫn lưu lại trong Admin để tái sử dụng khi cần.",
,170,Tự động kết thúc khi hết kho,Giảm tải,"Mong muốn:
- Nếu tồn kho của sản phẩm sale về 0, hệ thống tự động đổi trạng thái thành ""Cháy hàng"" và ẩn nút mua ngay lập tức kể cả khi thời gian của flash sale vẫn còn",
,171,"Sửa thông tin cơ bản, tên, danh mục, phân loại/giá, hình ảnh",Giảm tải,"Chỉ sửa thông tin thủ công
Mong muốn:
-Tự động sửa/ cập nhật thông tin nhanh qua File, google sheet, link,...
-Chọn nhiều sản phẩm cùng lúc, để sửa theo lần lượt theo hàng đợi.",
"Admin Quản lý danh mục
/admin/categories",172,Thêm mới danh mục,Hoàn Thành,"tạo thêm danh mục mới, sẽ được Hiển thị trên trang chủ, và thanh menu tự động","Giải pháp:
- AdminCategoryController.java, CategoryService.java, CategoryDAO.java
Flow:
- Gửi yêu cầu từ giao diện -> Controller nhận xử lý -> Cập nhật UI."
,173,Chỉnh sửa danh mục,Hoàn Thành,"sửa danh mục sẽ được Hiển thị trên trang chủ, và thanh menu tự động","Giải pháp:
- AdminCategoryController.java, CategoryService.java, CategoryDAO.java
Flow:
- Gửi yêu cầu từ giao diện -> Controller nhận xử lý -> Cập nhật UI."
,174,Kiểm tra ràng buộc khi xóa danh mục        ,Hoàn Thành,"Khi xóa, hệ thống phải kiểm tra và cảnh báo nếu danh mục có chứa sản phẩm. Yêu cầu chuyển sản phẩm sang danh mục khác trước khi cho phép xóa hẳn.","Giải pháp:
- AdminCategoryController.java, CategoryService.java, CategoryDAO.java
Flow:
- Gửi yêu cầu từ giao diện -> Controller nhận xử lý -> Cập nhật UI."
,175,Ản danh mục tạm thời,Hoàn Thành,"- Thêm tính năng bật tắt danh mục khi cần thay đổi hay gặp phải lỗi bất kỳ
- Khi tắt, danh mục biến mất trên web nhưng vẫn lưu lại trong Admin để tái sử dụng khi cần.","Giải pháp:
- AdminCategoryController.java, CategoryService.java, CategoryDAO.java
Flow:
- Gửi yêu cầu từ giao diện -> Controller nhận xử lý -> Cập nhật UI."
,176,Ẩn danh mục,Hoàn Thành,"- Ẩn danh mục sẽ xóa hiển thị trên trang chủ, và thanh menu tự động","Giải pháp:
- AdminCategoryController.java, CategoryService.java, CategoryDAO.java
Flow:
- Gửi yêu cầu từ giao diện -> Controller nhận xử lý -> Cập nhật UI."
"Admin Quản lý đơn hàng
/admin/orders",177,"Bộ lọc sắp xếp nhanh theo tình trạng đơn hàng, ngày",Hoàn Thành,"- Lọc được đơn hàng theo từng trạng thía: chờ xác nhận, đang xử lý, đang giao, hoàn thành, đã huỷ
-  Lọc theo đơn hàng trong khoảng thời gian","Giải pháp:
- AdminOrderController.java, OrderService.java, OrderDAO.java
Flow:
- Gửi yêu cầu từ giao diện -> Controller nhận xử lý -> Cập nhật UI."
,178,"Hiển thị các chi tiết thông tin đơn hàng, tình trạng đơn hàng",Hoàn Thành,"- Hiển thị các thông tin như mã đơn, khách hàng, sản phẩm, tổng tiền, phương thức thanh toán, trạng thái thanh toán, trạng thái đơn, ngày đặt","Giải pháp:
- AdminOrderController.java, OrderService.java, OrderDAO.java
Flow:
- Gửi yêu cầu từ giao diện -> Controller nhận xử lý -> Cập nhật UI."
,179,Mục hoàn tiền ,Hoàn Thành,"- Mục hoàn tiền sẽ hiển thị thông tin gồm nội dung, video/ảnh mà user đã gửi yêu cầu hỗ trợ hoàn tiền ","Giải pháp:
- AdminRefundController.java đọc dữ liệu từ bảng refund_requests
Flow:
- Gửi yêu cầu từ giao diện -> Controller nhận xử lý -> Cập nhật UI."
,180,nút bấm thay đổi tình trạng đơn hàng của admin,Hoàn Thành,"thay đổi lịch trình xử lý đơn hàng nhanh chóng
khi đã xác nhận đơn hàng hoặc hủy đơn hàng","Giải pháp:
- AdminOrderController.java, OrderService.java, OrderDAO.java
Flow:
- Gửi yêu cầu từ giao diện -> Controller nhận xử lý -> Cập nhật UI."
"Admin Quản lý tài khoản
/admin/users",181,Xem danh sách người dùng,Hoàn Thành,Admin có thể xem toàn bộ danh sách khách hàng đăng ký trên hệ thống.,"Giải pháp:
- AdminUserController.java, UserService.java, UserDAO.java
Flow:
- Gửi yêu cầu từ giao diện -> Controller nhận xử lý -> Cập nhật UI."
,182,Bộ lọc,Hoàn Thành,"- Sắp xếp lọc Hiển thị các tài khoản bị khóa do vi phạm, tài khoản chưa xác thực","Giải pháp:
- AdminUserController.java, UserService.java, UserDAO.java
Flow:
- Gửi yêu cầu từ giao diện -> Controller nhận xử lý -> Cập nhật UI."
,183,Tìm kiếm tài khoản,Hoàn Thành,Tính năng tìm kiếm người dùng theo Tên hoặc Email hoạt động,"Giải pháp:
- AdminUserController.java, UserService.java, UserDAO.java
Flow:
- Gửi yêu cầu từ giao diện -> Controller nhận xử lý -> Cập nhật UI."
,184,Phân trang danh sách khách hàng,Hoàn Thành,- Phân chia danh sách theo trang mỗi trang gồm 10 user,"Giải pháp:
- AdminUserController.java, UserService.java, UserDAO.java
Flow:
- Gửi yêu cầu từ giao diện -> Controller nhận xử lý -> Cập nhật UI."
,185,"Mở rộng phân quyền, vai trò của người dùng RBAC (Quản trị hệ thống)",Hoàn Thành,"Triển khai hệ thống quản lý quyền truy cập dựa trên vai trò
Admin có thể tạo không giới hạn vai trò mới và tích chọn các quyền hạn cụ thể (vd Nhân viên kho chỉ được xem/sửa đơn hàng; Marketing chỉ được viết bài tin tức)
Đảm bảo tính bảo mật: Người dùng không có quyền sẽ bị từ chối truy cập ngay tại tầng giao diện và API.
","Giải pháp:
- AdminAuthFilter.java chặn kiểm tra quyền của session user dựa trên bản đồ bảo mật SECURITY_MAP
Flow:
- Gửi yêu cầu từ giao diện -> Controller nhận xử lý -> Cập nhật UI."
,186,Khóa/Mở khóa tài khoản,Hoàn Thành,"- Khi bị khóa, người dùng không thể đăng nhập và nhận được thông báo lý do cụ thể
- Nút chuyển đổi trạng thái hoạt động cập nhật dữ liệu ngay lập tức","Giải pháp:
- AdminUserController.java, UserService.java, UserDAO.java
Flow:
- Gửi yêu cầu từ giao diện -> Controller nhận xử lý -> Cập nhật UI."
"Admin Quản lý bài viết/blog
/admin/posts",187,Hiển thị bài viết,Hoàn Thành,"Đã Hiển thị được tổng thể các bài viết của web theo: danh mục, tác giả, lượt xem, ngày đăng","Giải pháp:
- AdminPostController.java, PostService.java, PostDAO.java
Flow:
- Gửi yêu cầu từ giao diện -> Controller nhận xử lý -> Cập nhật UI."
,188,Thao tác bài viết,Hoàn Thành,"Cho phép người thêm bài viết mới, chỉnh sửa nội dung hình ảnh của bài viết đang có và xoá bài viết ","Giải pháp:
- AdminPostController.java, PostService.java, PostDAO.java
Flow:
- Gửi yêu cầu từ giao diện -> Controller nhận xử lý -> Cập nhật UI."
,189,Ràng buộc khi xóa danh mục bài viết,Hoàn Thành,"- Khi nhấn xóa, hệ thống phải kiểm tra xem danh mục có chứa bài viết nào không
- Trường hợp có bài viết: Không cho phép xóa và hiển thị thông báo: ""Không thể xóa danh mục này vì đang chứa X bài viết. Hãy chuyển bài viết sang danh mục khác trước
- Trường hợp trống: Hiển thị popup xác nhận ""Bạn có chắc chắn muốn xóa danh mục này?"" trước khi thực thi
","Giải pháp:
- AdminPostController.java, PostService.java, PostDAO.java
Flow:
- Gửi yêu cầu từ giao diện -> Controller nhận xử lý -> Cập nhật UI."
,190,Trạng thái bài viết (Ẩn/Hiển),Hoàn Thành,- Bổ sung cột trạng thái với nút cho phép Admin ẩn hoặc Hiển bài viết trên trang chủ ngay lập tức. ,"Giải pháp:
- AdminPostController.java, PostService.java, PostDAO.java
Flow:
- Gửi yêu cầu từ giao diện -> Controller nhận xử lý -> Cập nhật UI."
,191,Bộ lọc bài viết nâng cao,Hoàn Thành,"- Thêm bộ lọc bài viết theo: Danh mục, Tác giả, Khoảng thời gian đăng bài và Trạng thái (Nháp/Đã xuất bản)","Giải pháp:
- AdminPostController.java, PostService.java, PostDAO.java
Flow:
- Gửi yêu cầu từ giao diện -> Controller nhận xử lý -> Cập nhật UI."
"Admin Quản lý trang tĩnh
/admin/static-pages",192,Hiển thị danh sách thông tin các trang tĩnh,Giảm tải,"-Bao gồm các title, loại, trạng tái, lần cập nhật
-Không thể tạo hay xóa các trang tĩnh
Mong muốn:
- Có thể thêm sửa, xóa can thiệp vào các phần code cứng của dữ liệu Hiển thị tại thanh footer tùy biến và có thể trực tiếp đến phần code cứng thông qua phần admin ",
,193,Quản lý banner/ popup khuyến mãi,Giảm tải,"Mong muốn:
- Tuỳ chỉnh hiển thị một cái popup thông báo giảm giá 20% khi khách vừa vào web (có thể bật/tắt trong Admin)",
,194,Chỉnh sửa thông tin trang tĩnh,Hoàn Thành,sử dụng tinymce để làm trình chỉnh sửa html cho trang tĩnh,"Giải pháp:
- AdminStaticPageController.java (path /admin/static-pages/edit), frontend tích hợp thư viện JS TinyMCE để bind dữ liệu textarea
Flow:
- Gửi yêu cầu từ giao diện -> Controller nhận xử lý -> Cập nhật UI."
Admin (Toàn hệ thống),195,Điều hướng sau khi đăng nhập thành công (Toàn hệ thống),Hoàn Thành,"- Người dùng đã đăng nhập vẫn có thể quay lại trang login bằng cách gõ URL.
- Nếu session còn hiệu lực, hệ thống phải tự động điều hướng người dùng về trang chủ nếu họ cố tình truy cập link /login.","Giải pháp:
- Kiểm tra session attribute auth trong phương thức doGet của LoginController
Flow:
- Gửi yêu cầu từ giao diện -> Controller nhận xử lý -> Cập nhật UI."
,196,Nhận form liên hệ của khách hàng,Hoàn Thành,- Nhận được liên hệ từ khách hàng,"Giải pháp:
- Đóng gói dự án thành file .war bằng Gradle/Maven, deploy trực tiếp lên máy chủ Web Tomcat 10 kết nối MySQL database chạy trên Windows Server/Linux VPS
Flow:
- Khi Admin thực hiện thêm/xóa sản phẩm trên Web -> Event được kích hoạt -> Lưu thông tin ID sản phẩm và hành động (ADD / DELETE) kèm timestamp vào Session HashMap hoặc Application Context HashMap
- Mobile App định kỳ gửi request đồng bộ tới endpoint sync kèm theo lastSyncTimestamp và deviceStateHash
- Server kiểm tra nếu deviceStateHash khớp với serverStateHash hiện tại -> Trả về trạng thái ""Đã đồng bộ"" (no-op)
- Nếu lệch hash, server truy vấn HashMap lấy ra danh sách sản phẩm thay đổi có timestamp > lastSyncTimestamp
- Server trả về danh sách các sản phẩm cần thêm hoặc xóa dưới dạng JSON kèm theo newServerStateHash và currentTimestamp
- Mobile app áp dụng các thay đổi vào local SQLite/Room database và lưu lại newServerStateHash cùng lastSyncTimestamp
"
,197,Thông báo của admin,Giảm tải,"Chỉ nhận thông báo qua trang quản trị, dễ sót đơn hàng
Mong muốn:
- Tích hợp Bot Telegram hoặc tự động gửi Email thông báo ngay khi có đơn hàng mới phát sinh để Admin xử lý kịp thời",
,198,Chế độ bảo trì 	,Giảm tải,"Mong muốn:
- Bổ sung nút gạt Bật bảo trì, khi bật toàn bộ khách truy cập sẽ thấy trang thông báo: ""Hệ thống đang nâng cấp"" thay vì vào web",S
,199,Tự động sao lưu dữ liệu ,Giảm tải,"Mong muốn:
-Tích hợp tính năng Backup dữ liệu hàng tuần/tháng. Admin có thể tải bản backup về máy cá nhân để dự phòng",
,200,Quản lý tệp tin,Giảm tải,"Mong muốn:
- Xây dựng kho lưu trữ theo thư mục. Cho phép Tìm kiếm, Sắp xếp và Xóa các ảnh không còn sử dụng để nhẹ máy chủ.",
,201,Phản hồi đánh giá,Giảm tải,"Mong muốn:
- Admin có thể trả lời khiếu nại hoặc cảm ơn ngay bên dưới review
- Bổ sung nút Phản hồi dưới mỗi đánh giá/review để Admin trực tiếp trả lời, cảm ơn hoặc giải đáp thắc mắc của khách hàng.",
Hệ thống,202,Đồng bộ thêm/xoá sản phẩm Giỏ hàng với moblile,Hoàn Thành,"Để tối ưu hóa hiệu năng, giảm tải truy vấn I/O cho cơ sở dữ liệu MySQL và đảm bảo đồng bộ dữ liệu giỏ hàng theo thời gian thực (Real-time) giữa Web và Mobile, hệ thống sử dụng Redis Hash làm bộ lưu trữ giỏ hàng tập trung","Giải pháp:
- Lớp service CartService.java sử dụng thư viện Jedis để tương tác với Redis Hash với cấu trúc cart:user:{userId}.
- API /api/cart (do AddToCartController.java quản lý) xử lý các request thay đổi giỏ hàng từ Web/Mobile.
Flow:
- Người dùng Thêm/Xóa/Sửa giỏ hàng trên Web hoặc Mobile.
- Client gửi request (POST/DELETE/PUT) tới endpoint /api/cart.
- Server xử lý và gọi CartService để cập nhật trực tiếp vào Redis Hash (dùng HSET để cập nhật hoặc HDEL để xóa).
- Giỏ hàng được đồng bộ tức thời trên cả hai nền tảng nhờ sử dụng chung Redis lưu trữ tập trung."
,203,deploy,Hoàn Thành,"Cloud Provider / Server: Ứng dụng được triển khai trên máy chủ ảo cá nhân (VPS) chạy hệ điều hành Linux với địa chỉ IP 165.232.168.235 (nhà cung cấp DigitalOcean).
Domain & SSL (HTTPS): Website chạy dưới tên miền chính thức https://nongsanfarmily.site.
Lưu ý kỹ thuật: SSL/TLS được cấu hình thông qua dịch vụ Cloudflare (chế độ Proxy). Cloudflare đóng vai trò là CDN & Reverse Proxy đứng trước VPS, đảm nhận việc mã hóa HTTPS ở cổng 443, sau đó chuyển tiếp traffic dạng HTTP (cổng 80) về VPS.
Cơ sở dữ liệu & Bộ nhớ đệm:
Database: MySQL Server chạy trực tiếp trên Host OS ở cổng 3306.
Caching: Redis Server chạy trực tiếp trên Host OS ở cổng 6379.","Giải pháp:
- Đóng gói ứng dụng thành file ROOT.war bằng Gradle.
- Sử dụng Gradle plugin org.hidetake.ssh để chạy script deploy tự động (lệnh ./gradlew docker_deploy).
Flow:
- Hệ thống thực hiện build đóng gói file ROOT.war.
- Connect SSH tới VPS, xóa file WAR cũ và upload file ROOT.war mới lên thư mục /usr/deploy.
- Khởi động lại container Docker chạy image Tomcat 10.1, mount thư mục /usr/deploy ngoài host vào container để triển khai ứng dụng."
